experiment,order,id,trial,type,response,time_elapsed,target,distractor,occurrence,switch,negation
1b,unknown first,021b6b350350cf2b3b13982e143b2081,3,unknown,merged bulbs,137896,2,M,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,4,known,tree,144712,J,15,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,5,unknown,weight,153761,5,K,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,6,known,shoe,159719,C,10,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,7,unknown,blimp,171078,16,D,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,8,unknown,blimp,179852,16,I,2,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,9,unknown,blimp,184844,16,H,3,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,10,known,apple,193751,A,16,1,switch,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,11,known,sunflower,200580,L,11,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,12,unknown,top,208865,12,E,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,13,unknown,napkin holder,219361,7,G,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,14,known,ring,226017,F,6,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,15,known,cat,232112,B,1,1,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,16,known,cat,238606,B,8,2,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,17,known,cat,242030,B,4,3,standard,FALSE
1b,unknown first,021b6b350350cf2b3b13982e143b2081,18,unknown,hat,251335,3,B,1,switch,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,3,known,cat,108831,B,G,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,4,known,flower,115348,L,I,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,5,known,shoe,119846,C,A,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,6,known,dice,124643,H,J,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,7,known,cup,131393,M,E,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,8,known,cup,137151,M,N,2,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,9,known,mug,142468,M,K,3,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,10,known,ring,148475,F,M,1,switch,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,11,unknown,bunny looking thing,163583,3,4,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,12,unknown,one piece,174557,11,1,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,13,unknown,long bone like,184709,5,15,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,14,unknown,wide opening,195409,7,2,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,15,unknown,round shaped,206819,8,6,1,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,16,unknown,round shaped,215724,8,10,2,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,17,unknown,round shaped,222593,8,12,3,standard,FALSE
1a,known first,03f75c337c8b819f896360ec537411e5,18,unknown,blimp,230359,16,8,1,switch,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,3,unknown,FLUFFY,96210,4,3,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,4,unknown,ROUND,102362,1,5,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,5,unknown,DISK,118418,12,7,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,6,unknown,BLIMP,124380,16,2,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,7,unknown,SHAKER,130356,10,8,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,8,unknown,SHAKER,135441,10,9,2,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,9,unknown,SHAKER,142566,10,6,3,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,10,unknown,ODD SHAPE,162895,11,10,1,switch,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,11,known,RING,169766,F,A,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,12,known,CAT,173933,B,N,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,13,known,DIE,177595,H,E,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,14,known,FLOWER,181812,L,I,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,15,known,CUP,187049,M,C,1,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,16,known,CUP,190449,M,K,2,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,17,known,CUP,195558,M,D,3,standard,FALSE
1a,unknown first,053181285a47b96d23954fa3b9167fb8,18,known,FORK,200109,G,M,1,switch,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,3,unknown,baster,169250,10,8,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,4,unknown,spiky balls,181535,1,7,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,5,unknown,figurine,195168,5,16,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,6,unknown,doorknob,216870,2,12,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,7,unknown,spiky ball,246888,11,6,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,8,unknown,spiky ball,254880,11,9,2,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,9,unknown,spiky ball,264614,11,4,3,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,10,unknown,blocks,276608,15,11,1,switch,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,11,known,apple,284732,A,N,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,12,known,ring,290956,F,B,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,13,known,shoe,296490,C,I,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,14,known,butterfly,305409,K,M,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,15,known,chair,312140,E,L,1,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,16,known,chair,318689,E,D,2,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,17,known,chair,326114,E,J,3,standard,FALSE
1a,unknown first,061b5843fc6d4e4115c2862d2b4eb138,18,known,die,334032,H,E,1,switch,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,3,unknown,rearview mirror,156460,12,A,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,4,known,white pine,176267,J,16,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,5,unknown,monoplane,196722,5,G,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,6,known,black hairstreak,211722,K,2,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,7,unknown,bronze sculpture,225555,3,B,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,8,unknown,bronze sculpture,238915,3,D,2,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,9,unknown,preengagement ring Search Results Web results,253066,3,F,3,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,10,known,mug,269610,M,3,1,switch,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,11,known,dice game,288818,H,6,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,12,unknown,circular saw,305746,1,N,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,13,unknown,dumbbell,324411,9,L,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,14,known,leather,340818,C,15,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,15,known,peugeot 206,355786,I,10,1,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,16,known,peugeot 206,376811,I,7,2,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,17,known,peugeot 206,396899,I,4,3,standard,FALSE
1b,unknown first,06820a1a2009a30a38e5b76d31e9ea18,18,unknown,monochrome Search Results Web results,410724,8,I,1,switch,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,3,known,shoe,126924,C,3,1,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,4,unknown,balls,133852,1,I,1,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,5,unknown,blimp,144126,16,K,1,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,6,known,tree,149163,J,7,1,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,7,known,flower,153974,L,11,1,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,8,known,flower,160843,L,2,2,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,9,known,flower,167419,L,6,3,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,10,unknown,blocks,175667,15,L,1,switch,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,11,unknown,toy,184307,9,E,1,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,12,known,cup,193805,M,4,1,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,13,unknown,weird shape,207044,5,B,1,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,14,known,pen,211429,D,8,1,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,15,unknown,pump,224619,10,N,1,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,16,unknown,pump,229186,10,F,2,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,17,unknown,pump,235228,10,G,3,standard,FALSE
1b,known first,08ff9fecbfe37b9ab0724b08ea45cec7,18,known,dice,240982,H,10,1,switch,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,3,unknown,plastic object,106171,6,B,1,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,4,known,flower,111263,L,1,1,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,5,unknown,blimp,117267,16,K,1,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,6,known,die,129733,H,15,1,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,7,unknown,dog toy,141708,5,E,1,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,8,unknown,chew toy,148870,5,M,2,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,9,unknown,chew toy,155386,5,D,3,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,10,known,shoe,160145,C,5,1,switch,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,11,known,apple,166526,A,2,1,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,12,unknown,tops,173023,12,N,1,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,13,unknown,baster,181519,10,F,1,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,14,known,car,185172,I,8,1,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,15,known,fork,189768,G,4,1,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,16,known,fork,194116,G,3,2,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,17,known,fork,197722,G,11,3,standard,FALSE
1b,unknown first,0900a920a8fa43929d79032df805d781,18,unknown,plastic object,209970,7,G,1,switch,FALSE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,3,known,chair,296558,E,3,1,standard,FALSE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,4,unknown,not the fork,304839,6,G,1,standard,TRUE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,5,unknown,blocks,319481,15,M,1,standard,FALSE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,6,known,pen,324105,D,4,1,standard,FALSE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,7,known,petal,330922,L,9,1,standard,FALSE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,8,known,petal,335675,L,1,2,standard,FALSE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,9,known,petal,340059,L,5,3,standard,FALSE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,10,unknown,not the flower,347372,11,L,1,switch,TRUE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,11,unknown,not the tree,356117,7,J,1,standard,TRUE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,12,known,apple,360717,A,8,1,standard,FALSE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,13,unknown,blimp,371695,16,K,1,standard,FALSE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,14,known,car,374567,I,2,1,standard,FALSE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,15,unknown,pump,385248,10,B,1,standard,FALSE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,16,unknown,pump,389817,10,C,2,standard,FALSE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,17,unknown,pump,393673,10,N,3,standard,FALSE
1b,known first,0b4501bc1e722ae453efa9f9205f86fd,18,known,dice,398466,H,10,1,switch,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,3,unknown,art,141945,3,G,1,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,4,known,tree,145713,J,10,1,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,5,unknown,art,152840,8,F,1,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,6,known,chair,156947,E,7,1,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,7,unknown,toy,160379,15,C,1,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,8,unknown,toy,163956,15,K,2,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,9,unknown,toy,167328,15,N,3,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,10,known,cat,171323,B,15,1,switch,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,11,known,flower,176854,L,11,1,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,12,unknown,toy,187004,5,H,1,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,13,unknown,blimp,192679,16,D,1,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,14,known,apple,196518,A,6,1,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,15,known,cup,201917,M,4,1,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,16,known,cup,206510,M,12,2,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,17,known,cup,210196,M,2,3,standard,FALSE
1b,unknown first,0c148443abd6a96fd3e703aa064a49a5,18,unknown,toy,218581,9,M,1,switch,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,3,unknown,wheel,119290,12,M,1,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,4,known,car,125953,I,16,1,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,5,unknown,bladder,134928,10,G,1,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,6,known,die,140022,H,6,1,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,7,unknown,bricks,150603,15,N,1,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,8,unknown,bricks,166012,15,B,2,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,9,unknown,bricks,171981,15,L,3,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,10,known,clog,177405,C,15,1,switch,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,11,known,butterfly,185088,K,9,1,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,12,unknown,free weight,194481,5,D,1,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,13,unknown,wind spinner,207100,8,A,1,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,14,known,ring,211724,F,2,1,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,15,known,tree,215649,J,4,1,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,16,known,tree,220143,J,3,2,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,17,known,tree,225119,J,7,3,standard,FALSE
1b,unknown first,0c3c70631ccf2c0cc9302591dc769d81,18,unknown,gears,229700,1,J,1,switch,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,3,unknown,art,200807,4,G,1,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,4,known,crab,206429,N,8,1,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,5,unknown,art,212398,11,B,1,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,6,known,chair,218470,E,1,1,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,7,unknown,art,224934,2,L,1,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,8,unknown,art,232046,2,D,2,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,9,unknown,art,237309,2,H,3,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,10,known,pine tree,248494,J,2,1,switch,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,11,known,car,255934,I,15,1,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,12,unknown,art,265174,6,K,1,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,13,unknown,art,272310,7,M,1,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,14,known,apple,282269,A,3,1,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,15,known,shoe,289829,C,5,1,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,16,known,shoe,334198,C,10,2,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,17,known,boot,347990,C,12,3,standard,FALSE
1b,unknown first,0d1bacc55b9c4d6cfa3e535153a68392,18,unknown,art,356444,9,C,1,switch,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,3,known,shoes,166874,C,G,1,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,4,known,ring,172558,F,M,1,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,5,known,tree,177650,J,N,1,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,6,known,pen,184673,D,B,1,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,7,known,dice,190210,H,A,1,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,8,known,dice,195518,H,K,2,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,9,known,dice,201536,H,I,3,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,10,known,sunflower,207679,L,H,1,switch,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,11,unknown,round things,221066,1,15,1,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,12,unknown,toy,233326,9,10,1,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,13,unknown,weird sandal tool,246372,7,11,1,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,14,unknown,triangles,255893,5,2,1,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,15,unknown,plunger,266485,12,6,1,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,16,unknown,plunger,273665,12,3,2,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,17,unknown,plunger,279611,12,4,3,standard,FALSE
1a,known first,0f9f3e637df4019d1a6e9522e855d886,18,unknown,crumbled,290607,8,12,1,switch,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,3,unknown,toy,114237,12,C,1,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,4,known,insect,125083,K,7,1,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,5,unknown,toy,136426,1,E,1,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,6,known,flower,144402,L,16,1,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,7,unknown,container,157647,2,D,1,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,8,unknown,container,166414,2,A,2,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,9,unknown,knickknack,187619,2,M,3,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,10,known,crab,196386,N,2,1,switch,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,11,known,animal,203698,B,3,1,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,12,unknown,tool,213865,6,J,1,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,13,unknown,toy,221488,11,G,1,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,14,known,auto,228718,I,15,1,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,15,known,jewelry,237317,F,4,1,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,16,known,jewelry,245908,F,10,2,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,17,known,jewelry,256818,F,9,3,standard,FALSE
1b,unknown first,108a3ea35ea8747bfa4401b94ed374d7,18,unknown,art deco,273624,8,F,1,switch,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,3,unknown,black plastic device,1081354,6,8,1,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,4,unknown,white fluffy scrunchy surrounded by scrunchy white popsicles,1113927,4,5,1,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,5,unknown,sideways toilet brush older crossed with a mini barbell with the bells scooped out,1164572,15,9,1,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,6,unknown,Camo Snowboard with a some kind of strap,1201177,16,7,1,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,7,unknown,Partially deflated chefs hat,1221755,2,3,1,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,8,unknown,Clear plastic hamster toy with round windows,1258479,2,10,2,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,9,unknown,clear plastic hamster toy with round windows,1274042,2,11,3,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,10,unknown,Dog chew toy dumb bell with white and black pegs,1299484,1,2,1,switch,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,11,known,white and black pen with cap on end,1320391,D,A,1,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,12,known,ring with large jewel,1340582,F,N,1,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,13,known,die with 6 on top 4 to the left 5 to the right,1363673,E,H,1,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,14,known,fir tree,1377186,J,M,1,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,15,known,mostly white cat with brown splotches on the head back and tail,1416202,B,K,1,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,16,known,white cat with brown splotches,1427427,B,L,2,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,17,known,white cat with brown splotches,1438277,B,G,3,standard,FALSE
1a,unknown first,12faf23fb3cb5fab21c60dae64356bb1,18,known,4door compact car,1464832,I,B,1,switch,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,3,known,dice,103109,H,A,1,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,4,known,ring,109614,F,I,1,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,5,known,chair,114450,E,J,1,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,6,known,crab,120643,N,C,1,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,7,known,cup,125994,M,B,1,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,8,known,cup,130425,M,G,2,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,9,known,cup,135827,M,D,3,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,10,known,butterfly,142247,K,M,1,switch,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,11,unknown,blocks,150613,15,2,1,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,12,unknown,art,156483,8,4,1,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,13,unknown,tool,162941,10,12,1,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,14,unknown,blimp,169054,16,5,1,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,15,unknown,toy,174994,9,6,1,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,16,unknown,toy,181976,9,11,2,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,17,unknown,toy,188047,9,3,3,standard,FALSE
1a,known first,141521c6492ed999755a20e5e8d3e90c,18,unknown,dog toy,195602,1,9,1,switch,FALSE
1a,unknown first,15a9b0eb69cc551b52819754fdc32ad0,3,unknown,bone,158216,5,16,1,standard,FALSE
1a,unknown first,15a9b0eb69cc551b52819754fdc32ad0,4,unknown,tampax,167998,7,6,1,standard,FALSE
1a,unknown first,15a9b0eb69cc551b52819754fdc32ad0,5,unknown,bulb,174573,10,15,1,standard,FALSE
1a,unknown first,15a9b0eb69cc551b52819754fdc32ad0,6,unknown,cymbal,182135,12,2,1,standard,FALSE
1a,unknown first,15a9b0eb69cc551b52819754fdc32ad0,7,unknown,bopit,189215,9,8,1,standard,FALSE
1a,unknown first,15a9b0eb69cc551b52819754fdc32ad0,8,unknown,bopit,195227,9,11,2,standard,FALSE
1a,unknown first,15a9b0eb69cc551b52819754fdc32ad0,9,unknown,bopit,201677,9,4,3,standard,FALSE
1a,unknown first,15a9b0eb69cc551b52819754fdc32ad0,10,unknown,waves,207469,3,9,1,switch,FALSE
1a,unknown first,15a9b0eb69cc551b52819754fdc32ad0,11,known,apple,210532,A,G,1,standard,FALSE
