rt,response,locator,time_elapsed,trial,distractor,target,type,id,file
11081,Squeezing tool,NA,135465,4,M,10,unknown,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
10242,Strange shape,NA,148311,5,I,5,unknown,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
2787,Tree,NA,152458,6,4,J,known,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
2470,Cat,NA,158039,7,8,B,known,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
3063,Cat,NA,161960,8,6,B,known,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
3017,Cat,NA,167080,9,7,B,known,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
6097,Toy,NA,174280,10,B,15,unknown,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
10081,Oval shape,NA,185714,11,K,16,unknown,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
3154,Chair,NA,189721,12,3,E,known,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
8520,Spiked circle,NA,200844,13,A,1,unknown,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
3306,Fork,NA,206254,14,9,G,known,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
6902,Spinning thing,NA,215259,15,N,12,unknown,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
6110,Spinning thing,NA,223223,16,D,12,unknown,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
2773,Spinning thing,NA,227349,17,C,12,unknown,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
3610,Dice,NA,232061,18,12,H,known,3,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-35LDD5557BTB40D3VBVQHMS73CRMKF.json
6186,Bird,NA,132476,1,practiceDistractor1,practiceTarget1,practice,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
4903,Airplane,NA,139481,2,practiceDistractor2,practiceTarget2,practice,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
3470,Flower,NA,145818,3,12,L,known,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
8523,Not the tree,NA,157443,4,J,6,unknown,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
4462,Not the car,NA,164508,5,I,3,unknown,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
3180,Ring,NA,170290,6,11,F,known,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
7430,Die,NA,179071,7,15,H,known,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
12139,Die a single from a pair of dice,NA,194314,8,9,H,known,15,/Users/dan/Projects/callab/tunkel/Negation2.0/Experiment2/contrastA/production-results/338GLSUI43000P00OVVDPY4H9ZUSFJ-392CY0QWG2G4UFY9P4AIICWUPH84II.json
