rt,response,time_elapsed,trial,distractor,target,type,id
3870.2749999938533,car,153067,23,NA,NA,NA,31
3622.639999986859,car,158548,25,NA,NA,NA,31
3719.615000009071,pen,164131,27,NA,NA,NA,31
9513.194999977713,spiked y,174758,29,NA,NA,NA,31
8764.715000026627,pacifier,186631,31,NA,NA,NA,31
7413.230000005569,chef hat,196154,33,NA,NA,NA,31
22418.610000022454,squeeze,219432,35,NA,NA,NA,31
12661.530000012135,circular,232950,37,NA,NA,NA,31
8236.784999986412,circular,243809,39,NA,NA,NA,31
7267.259999993257,circular,251939,41,NA,NA,NA,31
13909.899999998743,art,267212,43,NA,NA,NA,31
4972,bird,37199,1,practiceDistractor1,practiceTarget1,practice,8
9445,art,59843,3,C,J,known,8
5172,Hi,68139,5,F,A,known,8
5789,bird,81965,8,B,E,known,8
5520,airplane,88870,10,E,I,known,8
2474,tree,94145,13,4,9,unknown,8
2134,flower,97156,15,8,3,unknown,8
1965,fruit,100000,17,6,3,unknown,8
3026,insect,104674,19,NA,NA,NA,8
3254,chair,109320,21,NA,NA,NA,8
3659,chair,115607,23,NA,NA,NA,8
1623,chair,118349,25,NA,NA,NA,8
1852,car,121827,27,NA,NA,NA,8
6643,hexagon shaped item,131601,29,NA,NA,NA,8
6760,weird art thing that is tall,140504,31,NA,NA,NA,8
9043,object that ISNT spikey,151175,33,NA,NA,NA,8
10374,blown glass art,163170,35,NA,NA,NA,8
9117,it looks like waves and is all white,173915,37,NA,NA,NA,8
6372,all white looks like waves,181659,39,NA,NA,NA,8
3875,all white looks like waves,187406,41,NA,NA,NA,8
9821,it looks like cymbols,198351,43,NA,NA,NA,8
4552.265000063926,bird,851243,1,practiceDistractor1,practiceTarget1,practice,26
7112.285000039265,vase,859841,3,H,B,known,26
12057.970000081696,Kev,872818,5,C,G,known,26
4853.204999933951,bird,885679,8,K,L,known,26
4854.730000020936,airplane,892640,10,L,I,known,26
2721.3449999690056,cat,902210,13,9,7,unknown,26
9168.270000023767,ring,912740,15,11,5,unknown,26
