mixed_repeated,order,id,trial,target_type,distractor_type,response,time_elapsed,target,distractor,file,occurrence,switch,negation
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,3,known,unknown,ring,88993,F,4,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,4,unknown,known,flip flop,100144,7,C,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,5,unknown,known,rings,106431,21,E,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,6,known,unknown,dice,113317,H,27,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,7,known,unknown,pen,119152,D,16,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,8,known,unknown,pen,127221,D,2,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,2,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,9,known,unknown,pen,132999,D,15,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,3,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,10,unknown,known,toy,139815,25,D,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,switch,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,11,unknown,unknown,blob,146698,3,17,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
known repeated,mixed first,03d63d0ac2419468499611d900ba82f2,12,unknown,unknown,gray,156398,9,20,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3511RHPADV3AZ2AJVHY6U145MHJRLZ-3X0H8UUIT2D5XVKP4MAFH6L8TGFSWH.json,1,standard,FALSE
