mixed_repeated,order,id,trial,target_type,distractor_type,response,time_elapsed,target,distractor,file,occurrence,switch,negation
known repeated,mixed first,a19c67b0298693d0c613c292cfc28351,6,known,unknown,shoe,456133,C,6,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3P520RYKCHVOD5ZF7OD4INVS7QNU5I-326O153BMJN5E6FGMWLK01S8L91DET.json,1,standard,FALSE
known repeated,mixed first,a19c67b0298693d0c613c292cfc28351,7,known,unknown,crab,472746,N,12,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3P520RYKCHVOD5ZF7OD4INVS7QNU5I-326O153BMJN5E6FGMWLK01S8L91DET.json,1,standard,FALSE
known repeated,mixed first,a19c67b0298693d0c613c292cfc28351,8,known,unknown,crab,483174,N,20,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3P520RYKCHVOD5ZF7OD4INVS7QNU5I-326O153BMJN5E6FGMWLK01S8L91DET.json,2,standard,FALSE
known repeated,mixed first,a19c67b0298693d0c613c292cfc28351,9,known,unknown,crab,496120,N,4,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3P520RYKCHVOD5ZF7OD4INVS7QNU5I-326O153BMJN5E6FGMWLK01S8L91DET.json,3,standard,FALSE
known repeated,mixed first,a19c67b0298693d0c613c292cfc28351,10,unknown,known,opener,507737,24,N,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3P520RYKCHVOD5ZF7OD4INVS7QNU5I-326O153BMJN5E6FGMWLK01S8L91DET.json,1,switch,FALSE
known repeated,mixed first,a19c67b0298693d0c613c292cfc28351,11,unknown,unknown,stand,518892,18,23,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3P520RYKCHVOD5ZF7OD4INVS7QNU5I-326O153BMJN5E6FGMWLK01S8L91DET.json,1,standard,FALSE
known repeated,mixed first,a19c67b0298693d0c613c292cfc28351,12,unknown,unknown,tool,531954,25,5,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3P520RYKCHVOD5ZF7OD4INVS7QNU5I-326O153BMJN5E6FGMWLK01S8L91DET.json,1,standard,FALSE
known repeated,mixed first,a19c67b0298693d0c613c292cfc28351,13,unknown,unknown,tools,550962,27,10,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3P520RYKCHVOD5ZF7OD4INVS7QNU5I-326O153BMJN5E6FGMWLK01S8L91DET.json,1,standard,FALSE
known repeated,mixed first,a19c67b0298693d0c613c292cfc28351,14,unknown,unknown,tools,564404,9,1,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3P520RYKCHVOD5ZF7OD4INVS7QNU5I-326O153BMJN5E6FGMWLK01S8L91DET.json,1,standard,FALSE
known repeated,mixed first,a19c67b0298693d0c613c292cfc28351,15,unknown,unknown,hanger,575441,7,17,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3P520RYKCHVOD5ZF7OD4INVS7QNU5I-326O153BMJN5E6FGMWLK01S8L91DET.json,1,standard,FALSE
known repeated,mixed first,a19c67b0298693d0c613c292cfc28351,16,unknown,unknown,hanger,586865,7,26,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3P520RYKCHVOD5ZF7OD4INVS7QNU5I-326O153BMJN5E6FGMWLK01S8L91DET.json,2,standard,FALSE
known repeated,mixed first,a19c67b0298693d0c613c292cfc28351,17,unknown,unknown,hanger,600816,7,15,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3P520RYKCHVOD5ZF7OD4INVS7QNU5I-326O153BMJN5E6FGMWLK01S8L91DET.json,3,standard,FALSE
known repeated,mixed first,a19c67b0298693d0c613c292cfc28351,18,unknown,unknown,ball,613100,2,7,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3P520RYKCHVOD5ZF7OD4INVS7QNU5I-326O153BMJN5E6FGMWLK01S8L91DET.json,1,switch,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,3,known,unknown,christmas tree,234340,J,17,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,1,standard,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,4,unknown,known,bricks,246215,15,E,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,1,standard,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,5,unknown,known,not cup,260668,6,M,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,1,standard,TRUE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,6,known,unknown,butterfly,271395,K,18,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,1,standard,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,7,known,unknown,cat,280179,B,23,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,1,standard,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,8,known,unknown,cat,288784,B,19,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,2,standard,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,9,known,unknown,cat,298469,B,9,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,3,standard,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,10,unknown,known,cylinder,315410,16,B,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,1,switch,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,11,unknown,unknown,cymbal,330536,12,4,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,1,standard,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,12,unknown,unknown,white color,341880,3,11,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,1,standard,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,13,unknown,unknown,slippers like,360960,7,21,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,1,standard,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,14,unknown,unknown,spike like,370921,1,24,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,1,standard,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,15,unknown,unknown,Y shape,381577,25,26,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,1,standard,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,16,unknown,unknown,Y shape,392370,25,20,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,2,standard,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,17,unknown,unknown,Y shape,402140,25,27,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,3,standard,FALSE
known repeated,mixed first,a494fb5c87a1e401d0bc9241e4cd01ea,18,unknown,unknown,not Y shape,415939,8,25,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3GONHBMNHVN37BEV5ATYGHLTV3SZM2-3D3VGR7TA14W5IIOFDZ8MZ5F9L93R5.json,1,switch,TRUE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,3,known,unknown,cat,80668,B,6,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,1,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,4,unknown,known,round,96199,12,E,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,1,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,5,unknown,known,jar,105569,2,D,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,1,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,6,known,unknown,tree,113776,J,5,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,1,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,7,known,unknown,car,120138,I,16,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,1,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,8,known,unknown,car,126001,I,21,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,2,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,9,known,unknown,car,132099,I,8,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,3,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,10,unknown,known,not car,148905,27,I,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,1,switch,TRUE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,11,unknown,unknown,hearts,163391,17,22,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,1,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,12,unknown,unknown,4 stems,176880,4,19,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,1,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,13,unknown,unknown,round,189579,26,15,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,1,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,14,unknown,unknown,molecules,199436,1,7,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,1,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,15,unknown,unknown,many small cylinders,230923,11,9,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,1,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,16,unknown,unknown,many small cylinders,239779,11,3,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,2,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,17,unknown,unknown,many small cylinders,248171,11,24,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,3,standard,FALSE
known repeated,mixed first,a7433e98283f8ecc0ef6936f7907acfb,18,unknown,unknown,lemon squeezer,260959,10,11,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3UY4PIS8QRACUXEN90Z612QHNEQ1NG-3OS4RQUCRA445NHS3BEKNTP8UP5BF3.json,1,switch,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,3,known,unknown,crab,303147,N,6,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,1,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,4,unknown,known,sphere,333915,21,E,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,1,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,5,unknown,known,sitting,352510,27,C,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,1,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,6,known,unknown,flower,362800,L,5,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,1,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,7,known,unknown,pen,372316,D,26,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,1,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,8,known,unknown,pen,382195,D,19,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,2,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,9,known,unknown,pen,391695,D,3,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,3,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,10,unknown,known,reptil,426382,10,D,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,1,switch,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,11,unknown,unknown,dumbbell,459854,9,24,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,1,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,12,unknown,unknown,wire,480434,17,22,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,1,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,13,unknown,unknown,camara,493496,11,1,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,1,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,14,unknown,unknown,bolt cutter,517786,25,18,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,1,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,15,unknown,unknown,monochrome,543075,8,15,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,1,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,16,unknown,unknown,monochrome,562869,8,4,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,2,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,17,unknown,unknown,monochrome,574709,8,23,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,3,standard,FALSE
known repeated,mixed first,a7f4a033698c19223515a7653ebc4f52,18,unknown,unknown,surfing,598984,7,8,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3VLL1PIENQDR7EZ7IQ8B8LAYQ37ZOH-3QJOXOW4XKG8I0LTZPKNJRF2UNUEMD.json,1,switch,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,3,known,unknown,6,158216,H,19,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,1,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,4,unknown,known,no paws,171708,21,B,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,1,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,5,unknown,known,no leaf,183408,5,J,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,1,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,6,known,unknown,write,195219,D,8,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,1,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,7,known,unknown,drink,209655,M,11,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,1,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,8,known,unknown,drink,218705,M,15,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,2,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,9,known,unknown,keep drinking,233038,M,23,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,3,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,10,unknown,known,stop drinking,245381,22,M,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,1,switch,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,11,unknown,unknown,feather,255909,3,9,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,1,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,12,unknown,unknown,many openings,271565,17,2,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,1,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,13,unknown,unknown,forceps,284428,27,16,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,1,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,14,unknown,unknown,coronas,295969,1,20,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,1,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,15,unknown,unknown,no donut,309143,25,4,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,1,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,16,unknown,unknown,without holes,323720,25,18,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,2,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,17,unknown,unknown,without holes,339549,25,24,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,3,standard,FALSE
known repeated,mixed first,a859759ed0e7496494988ac02f2a70b8,18,unknown,unknown,the new one,355016,10,25,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/3RWO3EJELHYCXIQ0PFCY5RVCNTR1PC-37TRT2X24RGKAP3OM1552RH0NWLBJ5.json,1,switch,FALSE
known repeated,mixed first,ab0ade2afe1ed528db868f41d3d5652a,3,known,unknown,flower,103584,L,3,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-3Z7ISHFUH1KR86AL1BOHZJFPYOD8ZO.json,1,standard,FALSE
known repeated,mixed first,ab0ade2afe1ed528db868f41d3d5652a,4,unknown,known,fancy art,118351,8,M,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-3Z7ISHFUH1KR86AL1BOHZJFPYOD8ZO.json,1,standard,FALSE
known repeated,mixed first,ab0ade2afe1ed528db868f41d3d5652a,5,unknown,known,object with bumps,135827,1,J,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-3Z7ISHFUH1KR86AL1BOHZJFPYOD8ZO.json,1,standard,FALSE
known repeated,mixed first,ab0ade2afe1ed528db868f41d3d5652a,6,known,unknown,butterfly,146033,K,20,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-3Z7ISHFUH1KR86AL1BOHZJFPYOD8ZO.json,1,standard,FALSE
known repeated,mixed first,ab0ade2afe1ed528db868f41d3d5652a,7,known,unknown,dice,153545,H,27,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-3Z7ISHFUH1KR86AL1BOHZJFPYOD8ZO.json,1,standard,FALSE
known repeated,mixed first,ab0ade2afe1ed528db868f41d3d5652a,8,known,unknown,dice,165426,H,25,/Users/dan/Projects/callab/tunkel/Negation2.0/raw_data/pre-reg2/4/production-results/34O39PNDK6XYMTO7449CGY80AN6BRX-3Z7ISHFUH1KR86AL1BOHZJFPYOD8ZO.json,2,standard,FALSE
