rt,response,time_elapsed,trial,distractor,target,type,id
3355.909999983851,DIce,56600,6,F,H,known,6
3808.7950000190176,Shoe,60512,7,F,C,known,6
2960.495000006631,shoe,63578,8,K,C,known,6
2726.269999984652,shoe,66408,9,J,C,known,6
2718.405000050552,pen,69232,10,C,D,known,6
7511.255000019446,filter,76848,11,10,3,unknown,6
4448.310000007041,sandal,81406,12,12,7,unknown,6
5526.160000008531,binkie,87038,13,2,9,unknown,6
6365.754999977071,alien x,93510,14,1,11,unknown,6
4943.0799999972805,bottle clamper,98560,15,1,6,unknown,6
5641.215000010561,bottle clamper,104307,16,5,6,unknown,6
3754.885000002105,bottle clamper,108166,17,4,6,unknown,6
5821.310000028461,jedi mask,114091,18,6,8,unknown,6
6895.915000000969,Pigeon,573555,1,practiceDistractor1,practiceTarget1,practice,14
2845.579999993788,Plane,576507,2,practiceDistractor2,practiceTarget2,practice,14
1463.1449999941979,Car,578074,3,H,I,known,14
2095.5200000025798,Chair,580274,4,L,E,known,14
2856.8099999974947,Butterfly,583234,5,J,K,known,14
1236.9550000003073,Cat,584578,6,G,B,known,14
1943.605000000447,Shoe,586627,7,G,C,known,14
1972.6450000016484,Shoe,588706,8,D,C,known,14
1757.7600000003586,Shoe,590570,9,F,C,known,14
1918.4949999980163,Apple,592594,10,C,A,known,14
23934.75000000035,Toy,616634,11,12,11,unknown,14
14151.45499999926,Weight,630891,12,8,5,unknown,14
13071.485000000452,Pump,644067,13,2,10,unknown,14
7173.479999997653,Toy,651348,14,9,4,unknown,14
49604.40500000538,Component,701059,15,9,6,unknown,14
4723.6849999971455,Component,705891,16,7,6,unknown,14
2527.589999997872,Component,708523,17,1,6,unknown,14
19486.85999999731,Foam,728115,18,6,3,unknown,14
7360.505000004196,bird,76712,1,practiceDistractor1,practiceTarget1,practice,38
8096.835000003921,plane,84917,2,practiceDistractor2,practiceTarget2,practice,38
5368.919999993523,shoe,90393,3,I,C,known,38
5961.155000011786,butterfly,96460,4,E,K,known,38
4876.680000001215,dice,101443,5,L,H,known,38
3389.9399999936577,apple,104947,6,J,A,known,38
3915.2949999988778,ring,108970,7,J,F,known,38
4021.9550000038,ring,113097,8,G,F,known,38
3495.215000002645,ring,116696,9,D,F,known,38
4087.550000011106,cat,120888,10,F,B,known,38
12019.714999987627,fish decoration,133012,11,2,1,unknown,38
29693.35499999579,8 sided figure,162810,12,8,11,unknown,38
41323.729999989155,toy with switch,204242,13,12,6,unknown,38
45294.58999999042,shape with 56 prongs,249641,14,4,5,unknown,38
